Count,Name,Edition,Card Number,Condition,Language,Foil,Signed,Artist Proof,Altered Art,Misprint,Promo,Textless,Type,Rarity,Price
7,Abjure,Weatherlight,31,Near Mint,English,,,,,,,,Instant,Common,$0.47 
8,Abnormal Endurance,Core Set 2019,85,Near Mint,English,,,,,,,,Instant,Common,$0.24 
6,Abominable Treefolk,Modern Horizons,194,Near Mint,English,,,,,,,,Snow Creature - Treefolk,Uncommon,$0.26 
1,Abomination,Legends,1,Near Mint,English,,,,,,,,Creature - Horror,Uncommon,$4.74 
1,Abomination,Fourth Edition,1,Near Mint,English,,,,,,,,Creature - Horror,Uncommon,$0.25 
4,Abomination of Gudul,Khans of Tarkir,159,Near Mint,English,,,,,,,,Creature - Horror,Common,$0.19 
1,Abomination of Llanowar,Commander Legends,265,Near Mint,English,,,,,,,,Legendary Creature - Elf Horror,Uncommon,$0.26 
2,Aboroth,Weatherlight,59,Near Mint,English,,,,,,,,Creature - Elemental,Rare,$6.94 
3,Aboshan's Desire,Odyssey,59,Near Mint,English,,,,,,,,Enchantment - Aura,Common,$0.23 
14,About Face,Urza's Legacy,73,Near Mint,English,,,,,,,,Instant,Common,$0.21 
2,Above the Clouds,Jumpstart Front Cards,1,Near Mint,English,,,,,,,,Token,Common,$0.00 
1,Abrade,Magic Game Day Cards,61,Near Mint,English,,,,,,,,Instant,Uncommon,$2.13 
2,Abrade,Double Masters,114,Near Mint,English,,,,,,,,Instant,Common,$0.45 
2,Abrade,Double Masters,114,Near Mint,English,foil,,,,,,,Instant,Common,$0.79 
1,Abrade,Commander Legends,410,Near Mint,English,,,,,,,,Instant,Uncommon,$0.40 
1,Abrade,Commander Legends,659,Near Mint,English,,,,,,,,Instant,Uncommon,$1.73 
6,Abrade,Hour of Devastation,83,Near Mint,English,,,,,,,,Instant,Uncommon,$0.59 
2,Abrupt Decay,Modern Masters 2017 Edition,146,Near Mint,English,,,,,,,,Instant,Rare,$7.43 
1,Abrupt Decay,Guilds of Ravnica Guild Kit,57,Near Mint,English,,,,,,,,Instant,Rare,$6.77 
1,Abrupt Decay,Time Spiral Remastered,370,Near Mint,English,,,,,,,,Instant,Special,$9.03 
1,Abrupt Decay,Return to Ravnica,141,Near Mint,English,,,,,,,,Instant,Rare,$7.13 
8,Absolute Grace,Urza's Saga,1,Near Mint,English,,,,,,,,Enchantment,Uncommon,$0.51 
6,Absolute Law,Urza's Saga,2,Near Mint,English,,,,,,,,Enchantment,Uncommon,$0.49 
2,Absolver Thrull,Guildpact,1,Near Mint,English,,,,,,,,Creature - Thrull Cleric,Common,$0.19 
1,Absorb,Ravnica Allegiance,151,Near Mint,English,,,,,,,,Instant,Rare,$1.17 
1,Absorb Vis,Modern Masters,71,Near Mint,English,,,,,,,,Sorcery,Common,$0.24 
4,Absorb Vis,Conspiracy: Take the Crown,126,Near Mint,English,,,,,,,,Sorcery,Common,$0.20 
1,Absorb Vis,Mystery Booster,558,Near Mint,English,,,,,,,,Sorcery,Common,$0.25 
9,Absorb Vis,Conflux,40,Near Mint,English,,,,,,,,Sorcery,Common,$0.22 
1,Abstract Iguanart,Unsanctioned,47,Near Mint,English,,,,,,,,Creature - Art Lizard,Uncommon,$0.26 
7,Abstruse Interference,Oath of the Gatewatch,40,Near Mint,English,,,,,,,,Instant,Common,$0.21 
11,Abu Ja'far,Chronicles,57,Near Mint,English,,,,,,,,Creature - Human,Uncommon,$0.27 
1,Abu Ja'far,Arabian Nights,55,Near Mint,English,,,,,,,,Creature - Human,Uncommon,$117.59 
1,Abu Ja'far,Arabian Nights,55,Played,English,,,,,,,,Creature - Human,Uncommon,$117.59 
4,Abuna Acolyte,Scars of Mirrodin,1,Near Mint,English,,,,,,,,Creature - Cat Cleric,Uncommon,$0.30 
12,Abuna's Chant,Fifth Dawn,1,Near Mint,English,,,,,,,,Instant,Common,$0.19 
1,Abundance,Duel Decks: Nissa vs. Ob Nixilis,2,Near Mint,English,,,,,,,,Enchantment,Rare,$0.88 
1,Abundance,Commander 2017,145,Near Mint,English,,,,,,,,Enchantment,Rare,$0.96 
1,Abundance,Zendikar Rising Commander,58,Near Mint,English,,,,,,,,Enchantment,Rare,$0.36 
1,Abundance,Urza's Saga,229,Near Mint,English,,,,,,,,Enchantment,Rare,$3.26 
4,Abundant Growth,Eternal Masters,156,Near Mint,English,,,,,,,,Enchantment - Aura,Common,$0.36 
1,Abundant Growth,Mystery Booster,1108,Near Mint,English,,,,,,,,Enchantment - Aura,Common,$0.40 
4,Abundant Growth,Avacyn Restored,167,Near Mint,English,,,,,,,,Enchantment - Aura,Common,$0.39 
8,Abundant Maw,Eldritch Moon,1,Near Mint,English,,,,,,,,Creature - Eldrazi Leech,Uncommon,$0.25 
5,Abyssal Gatekeeper,Weatherlight,1,Near Mint,English,,,,,,,,Creature - Horror,Common,$0.29 
1,Abyssal Horror,Urza's Saga,115,Near Mint,English,,,,,,,,Creature - Horror,Rare,$0.39 
1,Abyssal Hunter,Mirage,1,Near Mint,English,,,,,,,,Creature - Human Assassin,Rare,$0.44 
1,Abyssal Hunter,Classic Sixth Edition,109,Near Mint,English,,,,,,,,Creature - Human Assassin,Rare,$0.46 
2,Abyssal Persecutor,Iconic Masters,78,Near Mint,English,,,,,,,,Creature - Demon,Rare,$0.82 
1,Abyssal Persecutor,Worldwake,47,Near Mint,English,,,,,,,,Creature - Demon,MythicRare,$1.22 
1,Abyssal Specter,Deckmasters,1,Near Mint,English,,,,,,,,Creature - Specter,Special,$0.20 
1,Abyssal Specter,Battle Royale Box Set,1,Near Mint,English,,,,,,,,Creature - Specter,Uncommon,$0.44 
2,Abyssal Specter,Modern Masters 2017 Edition,59,Near Mint,English,,,,,,,,Creature - Specter,Uncommon,$0.25 
2,Abyssal Specter,Ice Age,1,Near Mint,English,,,,,,,,Creature - Specter,Uncommon,$0.26 
1,Abyssal Specter,Fifth Edition,1,Near Mint,English,,,,,,,,Creature - Specter,Uncommon,$0.28 
3,Abyssal Specter,Classic Sixth Edition,110,Near Mint,English,,,,,,,,Creature - Specter,Uncommon,$0.23 
2,Abyssal Specter,Seventh Edition,116,Near Mint,English,,,,,,,,Creature - Specter,Uncommon,$0.23 
4,Abyssal Specter,Eighth Edition,117,Near Mint,English,,,,,,,,Creature - Specter,Uncommon,$0.24 
8,Abzan Advantage,Fate Reforged,2,Near Mint,English,,,,,,,,Instant,Common,$0.19 
1,Abzan Ascendancy,Commander 2020,198,Near Mint,English,,,,,,,,Enchantment,Rare,$0.34 
2,Abzan Ascendancy,Khans of Tarkir,160,Near Mint,English,,,,,,,,Enchantment,Rare,$0.32 
4,Abzan Banner,Khans of Tarkir,215,Near Mint,English,,,,,,,,Artifact,Common,$0.20 
2,Abzan Battle Priest,Iconic Masters,2,Near Mint,English,foil,,,,,,,Creature - Human Cleric,Uncommon,$0.47 
6,Abzan Battle Priest,Iconic Masters,2,Near Mint,English,,,,,,,,Creature - Human Cleric,Uncommon,$0.31 
4,Abzan Battle Priest,Khans of Tarkir,1,Near Mint,English,,,,,,,,Creature - Human Cleric,Uncommon,$0.26 
4,Abzan Beastmaster,Fate Reforged,119,Near Mint,English,,,,,,,,Creature - Hound Shaman,Uncommon,$0.24 
3,Abzan Charm,Mystery Booster,1383,Near Mint,English,,,,,,,,Instant,Uncommon,$0.26 
1,Abzan Charm,Commander 2020,199,Near Mint,English,,,,,,,,Instant,Uncommon,$0.25 
4,Abzan Charm,Khans of Tarkir,161,Near Mint,English,,,,,,,,Instant,Uncommon,$0.26 
1,Abzan Falconer,Iconic Masters,3,Near Mint,English,foil,,,,,,,Creature - Human Soldier,Uncommon,$0.46 
3,Abzan Falconer,Iconic Masters,3,Near Mint,English,,,,,,,,Creature - Human Soldier,Uncommon,$0.28 
1,Abzan Falconer,Mystery Booster,7,Near Mint,English,,,,,,,,Creature - Human Soldier,Uncommon,$0.25 
1,Abzan Falconer,Zendikar Rising Commander,9,Near Mint,English,,,,,,,,Creature - Human Soldier,Uncommon,$0.28 
4,Abzan Falconer,Khans of Tarkir,2,Near Mint,English,,,,,,,,Creature - Human Soldier,Uncommon,$0.25 
4,Abzan Guide,Khans of Tarkir,162,Near Mint,English,,,,,,,,Creature - Human Warrior,Common,$0.19 
5,Abzan Kin-Guard,Fate Reforged,120,Near Mint,English,,,,,,,,Creature - Human Warrior,Uncommon,$0.24 
5,Abzan Runemark,Fate Reforged,3,Near Mint,English,,,,,,,,Enchantment - Aura,Common,$0.19 
16,Abzan Skycaptain,Fate Reforged,4,Near Mint,English,,,,,,,,Creature - Bird Soldier,Common,$0.20 
1,Academic Dispute,Strixhaven: School of Mages,91,Near Mint,English,,,,,,,,Instant,Uncommon,$0.26 
1,Academic Probation,Strixhaven: School of Mages,7,Near Mint,English,,,,,,,,Sorcery - Lesson,Rare,$0.29 
11,Academy Drake,Dominaria,40,Near Mint,English,,,,,,,,Creature - Drake,Common,$0.21 
1,Academy Elite,Commander 2016,81,Near Mint,English,,,,,,,,Creature - Human Wizard,Rare,$0.32 
1,Academy Journeymage,Mystery Booster,281,Near Mint,English,,,,,,,,Creature - Human Wizard,Common,$0.25 
13,Academy Journeymage,Dominaria,41,Near Mint,English,,,,,,,,Creature - Human Wizard,Common,$0.20 
3,Academy Raider,Magic 2014 Core Set,124,Near Mint,English,,,,,,,,Creature - Human Warrior,Common,$0.19 
1,Academy Rector,Urza's Destiny,1,Near Mint,English,,,,,,,,Creature - Human Cleric,Rare,$143.72 
7,Academy Researchers,Urza's Saga,58,Near Mint,English,,,,,,,,Creature - Human Wizard,Uncommon,$0.25 
2,Academy Researchers,Tenth Edition,63,Near Mint,English,,,,,,,,Creature - Human Wizard,Uncommon,$0.51 
1,Academy Ruins,Double Masters,309,Near Mint,English,,,,,,,,Legendary Land,Rare,$9.01 
1,Academy Ruins,Double Masters,369,Near Mint,English,,,,,,,,Legendary Land,Rare,$17.01 
1,Academy Ruins,Time Spiral,269,Near Mint,English,,,,,,,,Legendary Land,Rare,$10.85 
2,Accelerate,Torment,90,Near Mint,English,,,,,,,,Instant,Common,$0.86 
9,Accelerated Mutation,Scourge,109,Near Mint,English,,,,,,,,Instant,Common,$0.20 
1,Access Tunnel,Strixhaven: School of Mages,262,Near Mint,English,,,,,,,,Land,Uncommon,$0.34 
1,Accessories to Murder,Unstable,167,Near Mint,English,,,,,,,,Artifact - Contraption,Uncommon,$0.27 
2,Acclaimed Contender,Throne of Eldraine,1,Near Mint,English,,,,,,,,Creature - Human Knight,Rare,$0.39 
1,Acclaimed Contender,Throne of Eldraine,1,Near Mint,English,foil,,,,,,,Creature - Human Knight,Rare,$1.58 
2,Accomplished Automaton,Double Masters,230,Near Mint,English,,,,,,,,Artifact Creature - Construct,Common,$0.26 
10,Accomplished Automaton,Kaladesh,191,Near Mint,English,,,,,,,,Artifact Creature - Construct,Common,$0.19 
12,Accorder Paladin,Mirrodin Besieged,1,Near Mint,English,,,,,,,,Creature - Human Knight,Uncommon,$0.24 
8,Accorder's Shield,Scars of Mirrodin,136,Near Mint,English,,,,,,,,Artifact - Equipment,Common,$0.36 
1,Accorder's Shield,Magic 2014 Core Set,204,Near Mint,English,,,,,,,,Artifact - Equipment,Uncommon,$0.26 
12,Accumulated Knowledge,Duel Decks: Elspeth vs. Kiora,35,Near Mint,English,,,,,,,,Instant,Common,$0.23 
4,Accumulated Knowledge,Masters 25,40,Near Mint,English,foil,,,,,,,Instant,Common,$0.52 
6,Accumulated Knowledge,Masters 25,40,Near Mint,English,,,,,,,,Instant,Common,$0.23 
4,Accumulated Knowledge,Nemesis,26,Near Mint,English,,,,,,,,Instant,Common,$0.28 
5,Accursed Horde,Hour of Devastation,56,Near Mint,English,,,,,,,,Creature - Zombie,Uncommon,$0.25 
2,Accursed Spirit,Mystery Booster,559,Near Mint,English,,,,,,,,Creature - Spirit,Common,$0.22 
4,Accursed Spirit,Magic 2014 Core Set,83,Near Mint,English,,,,,,,,Creature - Spirit,Common,$0.19 
3,Accursed Spirit,Magic 2015 Core Set,85,Near Mint,English,,,,,,,,Creature - Spirit,Common,$0.20 
4,Accursed Witch,Shadows over Innistrad,97,Near Mint,English,,,,,,,,Creature - Human Shaman // Enchantment - Aura Curse,Uncommon,$0.30 
1,Acid Rain,Legends,44,Near Mint,English,,,,,,,,Sorcery,Rare,$150.34 
8,Acid Web Spider,Scars of Mirrodin,108,Near Mint,English,,,,,,,,Creature - Spider,Uncommon,$0.23 
1,Acid-Spewer Dragon,Dragons of Tarkir,86,Near Mint,English,,,,,,,,Creature - Dragon,Uncommon,$0.26 
1,Acidic Dagger,Mirage,256,Near Mint,English,,,,,,,,Artifact,Rare,$2.89 
2,Acidic Slime,Duel Decks: Jace vs. Vraska,64,Near Mint,English,,,,,,,,Creature - Ooze,Uncommon,$0.27 
1,Acidic Slime,Commander 2013,134,Near Mint,English,,,,,,,,Creature - Ooze,Uncommon,$0.32 
1,Acidic Slime,Commander 2015,173,Near Mint,English,,,,,,,,Creature - Ooze,Uncommon,$0.35 
1,Acidic Slime,Commander 2018,127,Near Mint,English,,,,,,,,Creature - Ooze,Uncommon,$0.37 
1,Acidic Slime,Secret Lair Drop Series,134,Near Mint,English,,,,,,,,Creature - Ooze,Rare,$8.13 
1,Acidic Slime,Commander 2020,165,Near Mint,English,,,,,,,,Creature - Ooze,Uncommon,$0.29 
1,Acidic Slime,Zendikar Rising Commander,59,Near Mint,English,,,,,,,,Creature - Ooze,Uncommon,$0.28 
2,Acidic Slime,Commander Legends,421,Near Mint,English,,,,,,,,Creature - Ooze,Uncommon,$0.25 
5,Acidic Slime,Magic 2010,165,Near Mint,English,,,,,,,,Creature - Ooze,Uncommon,$0.35 
1,Acidic Slime,Magic 2011,161,Near Mint,English,,,,,,,,Creature - Ooze,Uncommon,$0.31 
10,Acidic Slime,Magic 2012,161,Near Mint,English,,,,,,,,Creature - Ooze,Uncommon,$0.29 
6,Acidic Slime,Magic 2013,159,Near Mint,English,,,,,,,,Creature - Ooze,Uncommon,$0.47 
1,Acidic Sliver,Premium Deck Series: Slivers,13,Near Mint,English,foil,,,,,,,Creature - Sliver,Uncommon,$0.82 
4,Acidic Sliver,Stronghold,138,Near Mint,English,,,,,,,,Creature - Sliver,Uncommon,$0.62 
5,Acidic Soil,Urza's Saga,172,Near Mint,English,,,,,,,,Sorcery,Uncommon,$2.96 
4,Acolyte of Affliction,Theros Beyond Death,206,Near Mint,English,,,,,,,,Creature  - Human Cleric,Uncommon,$0.26 
1,Acolyte of the Inferno,Magic Origins,128,Near Mint,English,,,,,,,,Creature - Human Monk,Uncommon,$0.23 
8,Acolyte of Xathrid,Magic 2010,83,Near Mint,English,,,,,,,,Creature - Human Cleric,Common,$0.20 
2,Acolyte's Reward,Born of the Gods,1,Near Mint,English,,,,,,,,Instant,Uncommon,$0.23 
1,Acorn Harvest,Torment,118,Near Mint,English,,,,,,,,Sorcery,Common,$0.30 
1,"Acornelia, Fashionable Filcher",Unsanctioned,31,Near Mint,English,,,,,,,,Legendary Creature - Squirrel,Rare,$0.51 
1,Acquire,Fifth Dawn,21,Near Mint,English,,,,,,,,Sorcery,Rare,$2.89 
4,Acquisitions Expert,Zendikar Rising,89,Near Mint,English,,,,,,,,Creature - Human Rogue,Uncommon,$0.23 
2,Acridian,Urza's Saga,230,Near Mint,English,,,,,,,,Creature - Insect,Common,$0.21 
1,Acrobatic Maneuver,Mystery Booster,9,Near Mint,English,,,,,,,,Instant,Common,$0.25 
1,Acrobatic Maneuver,Kaladesh,1,Near Mint,English,foil,,,,,,,Instant,Common,$0.43 
10,Acrobatic Maneuver,Kaladesh,1,Near Mint,English,,,,,,,,Instant,Common,$0.21 
3,Act of Aggression,Commander 2015,141,Near Mint,English,,,,,,,,Instant,Uncommon,$0.29 
1,Act of Aggression,New Phyrexia,78,Played,English,,,,,,,,Instant,Uncommon,$0.27 
13,Act of Aggression,New Phyrexia,78,Near Mint,English,,,,,,,,Instant,Uncommon,$0.27 
1,Act of Authority,Commander 2013,1,Near Mint,English,,,,,,,,Enchantment,Rare,$2.24 
7,Act of Heroism,Masters 25,1,Near Mint,English,,,,,,,,Instant,Common,$0.21 
12,Act of Heroism,Hour of Devastation,1,Near Mint,English,,,,,,,,Instant,Common,$0.21 
3,Act of Treason,Duels of the Planeswalkers,37,Near Mint,English,,,,,,,,Sorcery,Uncommon,$0.22 
6,Act of Treason,Duel Decks: Speed vs. Cunning,26,Near Mint,English,,,,,,,,Sorcery,Common,$0.15 
5,Act of Treason,Masters 25,118,Near Mint,English,,,,,,,,Sorcery,Common,$0.21 
1,Act of Treason,Mystery Booster,831,Near Mint,English,,,,,,,,Sorcery,Common,$0.25 
8,Act of Treason,Magic 2010,124,Near Mint,English,,,,,,,,Sorcery,Uncommon,$0.29 
8,Act of Treason,Magic 2011,121,Near Mint,English,,,,,,,,Sorcery,Common,$0.27 
6,Act of Treason,Magic 2012,121,Near Mint,English,,,,,,,,Sorcery,Common,$0.27 
4,Act of Treason,Gatecrash,85,Near Mint,English,,,,,,,,Sorcery,Common,$0.20 
1,Act of Treason,Magic 2014 Core Set,125,Near Mint,English,,signed,,,,,,Sorcery,Common,$0.26 
4,Act of Treason,Magic 2014 Core Set,125,Near Mint,English,,,,,,,,Sorcery,Common,$0.26 
4,Act of Treason,Khans of Tarkir,95,Near Mint,English,,,,,,,,Sorcery,Common,$0.20 
1,Act of Treason,Magic Origins,129,Near Mint,English,foil,,,,,,,Sorcery,Common,$0.26 
5,Act of Treason,Magic Origins,129,Near Mint,English,,,,,,,,Sorcery,Common,$0.26 
1,Act of Treason,Core Set 2019,127,Near Mint,English,foil,,,,,,,Sorcery,Common,$0.25 
5,Act of Treason,Core Set 2019,127,Near Mint,English,,,,,,,,Sorcery,Common,$0.19 
4,Act of Treason,Ravnica Allegiance,91,Near Mint,English,,,,,,,,Sorcery,Common,$0.27 
4,Act of Treason,Core Set 2020,124,Near Mint,English,,,,,,,,Sorcery,Common,$0.19 
2,Act on Impulse,Magic 2015 Core Set,126,Near Mint,English,,,,,,,,Sorcery,Uncommon,$0.24 
27,Active Volcano,Chronicles,43,Near Mint,English,,,,,,,,Instant,Common,$0.21 
4,Active Volcano,Legends,130,Near Mint,English,,,,,,,,Instant,Common,$1.56 
1,Ad Nauseam,Double Masters,76,Near Mint,English,,,,,,,,Instant,Rare,$7.98 
1,Ad Nauseam,Shards of Alara,63,Near Mint,English,,,,,,,,Instant,Rare,$8.32 
13,Adamant Will,Dominaria,2,Near Mint,English,,,,,,,,Instant,Common,$0.21 
3,Adanto Vanguard,Mystery Booster,10,Near Mint,English,,,,,,,,Creature - Vampire Soldier,Uncommon,$0.27 
6,Adanto Vanguard,Ixalan,1,Near Mint,English,,,,,,,,Creature - Vampire Soldier,Uncommon,$0.26 
3,Adaptive Automaton,Magic 2012,201,Near Mint,English,,,,,,,,Artifact Creature - Construct,Rare,$4.10 
4,Adaptive Shimmerer,Ikoria: Lair of Behemoths,1,Near Mint,English,,,,,,,,Creature - Insect,Common,$0.20 
4,Adaptive Snapjaw,Gatecrash,113,Near Mint,English,,,,,,,,Creature - Lizard Beast,Common,$0.19 
2,Adarkar Unicorn,Ice Age,225,Near Mint,English,,,,,,,,Creature - Unicorn,Common,$0.20 
1,Adarkar Valkyrie,Modern Masters,1,Near Mint,English,,,,,,,,Snow Creature - Angel,Rare,$0.77 
1,Adarkar Valkyrie,Commander 2018,60,Near Mint,English,,,,,,,,Snow Creature - Angel,Rare,$0.85 
3,Adarkar Windform,Coldsnap,26,Near Mint,English,,,,,,,,Snow Creature - Illusion,Uncommon,$0.24 
3,Adarkar Windform,Coldsnap,26,Near Mint,English,,,,,,,,Snow Creature - Illusion,Uncommon,$0.24 
4,Adder-Staff Boggart,Lorwyn,148,Near Mint,English,,,,,,,,Creature - Goblin Warrior,Common,$0.22 
2,Addle,Invasion,91,Good (Lightly Played),English,,,,,,,,Sorcery,Uncommon,$0.45 
10,Addle,Invasion,91,Near Mint,English,,,,,,,,Sorcery,Uncommon,$0.45 
1,Addle,Invasion,91,Played,English,,,,,,,,Sorcery,Uncommon,$0.45 
4,"Adeliz, the Cinder Wind",Dominaria,190,Near Mint,English,,,,,,,,Legendary Creature - Human Wizard,Uncommon,$0.32 
3,Admiral Beckett Brass,Ixalan,217,Near Mint,English,,,,,,,,Legendary Creature - Human Pirate,MythicRare,$3.93 
7,Admiral's Order,Rivals of Ixalan,31,Near Mint,English,,,,,,,,Instant,Rare,$0.39 
1,Admonition Angel,Secret Lair Drop Series,154,Near Mint,English,,,,,,,,Creature - Angel,MythicRare,$17.99 
1,Admonition Angel,Zendikar Rising Commander,10,Near Mint,English,,,,,,,,Creature - Angel,MythicRare,$0.69 
1,Admonition Angel,Worldwake,1,Near Mint,English,,,,,,,,Creature - Angel,MythicRare,$4.57 
1,Adorable Kitten,Unstable,1,Near Mint,English,foil,,,,,,,Host Creature - Cat,Common,$4.56 
3,Adorable Kitten,Unstable,1,Near Mint,English,,,,,,,,Host Creature - Cat,Common,$0.23 
1,Adorable Kitten,Unsanctioned,1,Near Mint,English,,,,,,,,Host Creature - Cat,Common,$0.24 
4,Adorned Pouncer,Hour of Devastation,2,Near Mint,English,,,,,,,,Creature - Cat,Rare,$1.07 
18,Adriana's Valor,Conspiracy: Take the Crown,1,Near Mint,English,,,,,,,,Conspiracy,Common,$0.20 
1,"Adriana, Captain of the Guard",Conspiracy: Take the Crown,73,Near Mint,English,,,,,,,,Legendary Creature - Human Knight,Rare,$0.75 
2,"Adriana, Captain of the Guard",Commander 2020,200,Near Mint,English,,,,,,,,Legendary Creature - Human Knight,Rare,$0.36 
2,Advance Scout,Tempest,213,Near Mint,English,,,,,,,,Creature - Human Soldier Scout,Common,$0.20 
15,Advanced Hoverguard,Fifth Dawn,22,Near Mint,English,,,,,,,,Creature - Drone,Common,$0.19 
8,Advanced Stitchwing,Eldritch Moon,49,Near Mint,English,,,,,,,,Creature - Zombie Horror,Uncommon,$0.24 
2,Advantageous Proclamation,Conspiracy,1,Near Mint,English,,,,,,,,Conspiracy,Uncommon,$0.24 
2,Advent of the Wurm,Modern Masters 2017 Edition,147,Near Mint,English,,,,,,,,Instant,Rare,$0.43 
1,Advent of the Wurm,Guilds of Ravnica Guild Kit,107,Near Mint,English,,,,,,,,Instant,Rare,$0.43 
1,Advent of the Wurm,Dragon's Maze,51,Near Mint,English,,,,,,,,Instant,Rare,$0.43 
4,Adventure Awaits,Zendikar Rising,177,Near Mint,English,,,,,,,,Sorcery,Common,$0.21 
1,Adventurers' Guildhouse,Legends,245,Near Mint,English,,,,,,,,Land,Uncommon,$26.82 
4,Adventuring Gear,Zendikar,195,Near Mint,English,,,,,,,,Artifact - Equipment,Common,$0.24 
1,Adventurous Impulse,Strixhaven Mystical Archive,49,Near Mint,English,,,,,,,,Sorcery,Uncommon,$0.30 
1,Adventurous Impulse,Strixhaven Mystical Archive,49,Near Mint,English,foil,,,,,,,Sorcery,Uncommon,$0.46 
11,Adventurous Impulse,Dominaria,153,Near Mint,English,,,,,,,,Sorcery,Common,$0.21 
4,Adventurous Impulse,Ikoria: Lair of Behemoths,142,Near Mint,English,,,,,,,,Sorcery,Common,$0.27 
8,Adverse Conditions,Battle for Zendikar,54,Near Mint,English,,,,,,,,Instant,Uncommon,$0.24 
1,Advice from the Fae,Shadowmoor,28,Near Mint,English,,,,,,,,Sorcery,Uncommon,$0.24 
3,Advocate of the Beast,Magic 2014 Core Set,164,Near Mint,English,,,,,,,,Creature - Elf Shaman,Common,$0.20 
2,"Aegar, the Freezing Flame",Kaldheim,200,Near Mint,English,,,,,,,,Legendary Creature - Giant Wizard,Uncommon,$0.25 
3,Aegis Angel,Welcome Deck 2016,1,Near Mint,English,,,,,,,,Creature - Angel,Rare,$0.34 
1,Aegis Angel,Magic 2015 Core Set,270,Near Mint,English,,,,,,,,Creature - Angel,Rare,$0.38 
2,Aegis Angel,Magic Origins,273,Near Mint,English,,,,,,,,Creature - Angel,Rare,$0.35 
10,Aegis Automaton,Aether Revolt,141,Near Mint,English,,,,,,,,Artifact Creature - Construct,Common,$0.20 
1,Aegis of the Gods,Journey into Nyx,1,Near Mint,English,,,,,,,,Enchantment Creature - Human Soldier,Rare,$1.89 
8,Aegis of the Heavens,Core Set 2019,1,Near Mint,English,,,,,,,,Instant,Uncommon,$0.24 
2,Aegis of the Meek,Ice Age,282,Near Mint,English,,,,,,,,Artifact,Rare,$2.70 
1,Aegis Turtle,Jumpstart,138,Near Mint,English,,,,,,,,Creature - Turtle,Common,$0.24 
4,Aegis Turtle,Ikoria: Lair of Behemoths,39,Near Mint,English,,,,,,,,Creature - Turtle,Common,$0.27 
2,Aeolipile,Fallen Empires,166,Near Mint,English,,,,,,,,Artifact,Rare,$5.15 
2,Aeon Chronicler,Duel Decks: Jace vs. Vraska,17,Near Mint,English,,,,,,,,Creature - Avatar,Rare,$0.33 
1,Aeon Chronicler,Commander 2016,82,Near Mint,English,,,,,,,,Creature - Avatar,Rare,$0.37 
1,Aeon Chronicler,Time Spiral Remastered,51,Near Mint,English,foil,,,,,,,Creature - Avatar,Rare,$0.89 
2,Aeon Chronicler,Time Spiral Remastered,51,Near Mint,English,,,,,,,,Creature - Avatar,Rare,$0.60 
2,Aeon Chronicler,Planar Chaos,32,Near Mint,English,,,,,,,,Creature - Avatar,Rare,$0.40 
3,Aeon Engine,Commander 2019,52,Near Mint,English,,,,,,,,Artifact,Rare,$0.35 
1,Aerathi Berserker,Legends,131,Near Mint,English,,,,,,,,Creature - Human Berserker,Uncommon,$6.95 
